Customer Feedback,Sentiment,Retention Strategy,Score,Reason,Strategy Effectiveness
credit card generating otp,Neutral,Offer a simple way to generate OTPs through your credit card for quick transactions.,4.0,action:2,Effective
current account charges high,Positive,Celebrate the positive experience of our current account charges by highlighting the benefits of having a smooth deposit process.,1.0,len>=16,Needs Review
loan prepayment charges high,Positive,Appreciate and support your high savings rates with flexible loan prepayment options to boost your financial stability.,4.0,"action:1, empathy:1, len>=16",Effective
savings account opening process smooth,Positive,Encourage using our mobile app for seamless savings account opening processes that make banking more convenient.,1.0,len>=16,Needs Review
loan documentation process complicated,Negative,We understand the complexity of your loan documentation process and aim to simplify it further by streamlining our support.,8.0,"action:3, empathy:1, len>=16",Effective
debit card activation process took long,Negative,Your feedback on the debit card activation process is noted; we're looking into ways to expedite this for you.,3.0,"action:1, len>=16",Needs Review
satisfied easy online account opening savings account,Positive,"We appreciate your satisfaction with online account opening and will continue to enhance our savings account experience,",2.0,"empathy:1, len>=16",Needs Review
branch enough seating,Neutral,Improving branch seating arrangements is important to us and we'll work on making it more comfortable for all customers.,4.5,"action:1, specific:1, len>=16",Effective
debit card replacement process quick,Positive,We appreciate your quick satisfaction with our debit card replacement process. Let's ensure you have all the information needed to avoid similar issues in the future.,4.0,"action:1, empathy:1, len>=16",Effective
loan interest rate increased without prior notice,Neutral,Understanding that unexpected changes can be frustrating; we'll review how to handle such situations more transparently moving forward.,2.0,"empathy:1, len>=16",Needs Review
current account management convenient,Neutral,We value your convenience with current account management. Let's explore ways to streamline these processes for smoother experiences.,3.0,"action:1, len>=16",Needs Review
fixed deposit rates competitive,Positive,Your satisfaction with our fixed deposit rates is greatly appreciated. We'll continue offering competitive offers and keep you informed about new opportunities.,4.0,"action:1, empathy:1, len>=16",Effective
current account online services reliable,Neutral,We appreciate your satisfaction with our online services. Let's keep them reliable to maintain this positive experience.,2.0,"empathy:1, len>=16",Needs Review
savings account services reliable,Neutral,Your savings account remains dependable. We aim to continue these reliable services for you.,0.0,no_signals,Needs Review
