customerID,Gender,Senior Citizen,Marital Status,Dependents,tenure in months,Priority Account,Credit Cards,Loan Account,Netbanking,Debit Card,MobileApp,TechSupport Availed,Zero Balance Account,FDs,Interest Deposited,Paperless Banking,Monthly Average Balance (USD),Yearly Average Balance (USD),Churn,Customer Feedback,Category,Recommendation
5522-JBWMO,Male,0,No,Yes,1,Yes,No,general loan,No,No,No,No,No,No,Month-to-month,No,44,44,No,My Credit Card is not generating OTP.,Credit Card,
5275-PMFUT,Male,0,Yes,Yes,72,No,No,general loan,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,64.8,4719.75,No,The Current Account charges are too high.,Current Account,
5609-CEBID,Female,1,No,No,20,Yes,Yes,top up loan,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,94.1,1782.4,Yes,The loan prepayment charges are too high.,Loans,
4381-MHQDC,Female,0,No,No,47,Yes,Yes,general loan,Yes,No,Yes,Yes,No,No,Two year,Yes,65,2879.9,No,The Savings Account opening process was very smooth.,Savings Account,
6353-BRMMA,Female,0,Yes,Yes,54,Yes,Yes,top up loan,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,104.1,5645.8,No,The loan documentation process is very complicated.,Loans,
7905-TVXTA,Female,0,No,No,5,Yes,No,general loan,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,64.35,352.65,No,The Debit Card activation process took too long.,Debit Cards,
6786-OBWQR,Female,0,Yes,Yes,5,Yes,No,top up loan,No,No,No,No,Yes,No,Month-to-month,Yes,80.85,356.1,No,I am satisfied with the easy online account opening for my Savings Account.,Savings Account,
8434-VGEQQ,Male,0,Yes,Yes,61,Yes,No,No,No,No,No,No,No,No,Two year,No,20.55,1305.95,No,The branch does not have enough seating.,Branch Service,
5172-MIGPM,Male,0,No,No,4,Yes,Yes,general loan,No,No,No,Yes,No,Yes,Month-to-month,No,65.55,237.2,No,The Debit Card replacement process was very quick.,Debit Cards,
6035-BXTTY,Female,1,No,No,32,Yes,No,general loan,No,Yes,No,Yes,No,No,Month-to-month,No,54.65,1830.1,No,The loan interest rate was increased without any prior notice.,Loans,
6461-PPAXN,Female,0,Yes,Yes,35,Yes,No,general loan,Yes,No,No,Yes,No,No,One year,Yes,54.95,1916,No,The Current Account management is very convenient.,Current Account,
2782-LFZVW,Female,0,No,No,11,Yes,Yes,general loan,No,No,No,No,No,Yes,Month-to-month,Yes,58.95,601.6,No,The fixed deposit rates are not competitive.,Fixed Deposit,
7982-VCELR,Female,0,No,No,36,Yes,No,top up loan,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,94.8,3565.65,No,The Current Account online services are very reliable.,Current Account,
0191-ZHSKZ,Male,1,No,No,30,Yes,,general loan,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,74.75,2111.3,No,The Savings Account services are very reliable.,Savings Account,
3583-EKAPL,Male,0,No,No,1,Yes,No,general loan,No,No,No,No,No,Yes,Month-to-month,Yes,55,55,Yes,The Savings Account minimum balance requirement is too high.,Savings Account,
3606-TWKGI,Male,1,No,No,13,Yes,Yes,top up loan,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,106.9,1364.3,Yes,The mobile app does not support my device.,Mobile Banking,
2817-NTQDO,Male,0,No,No,13,No,No,general loan,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,45.55,597,Yes,The loan disbursement process is very slow.,Loans,
9577-WJVCQ,Female,0,No,No,68,Yes,Yes,general loan,Yes,No,No,No,No,No,Month-to-month,No,54.45,3687.75,No,Can I get a Loan against my Fixed Deposit?,Loans,
6317-YPKDH,Female,0,No,No,1,No,No,general loan,No,Yes,No,No,No,No,Month-to-month,No,29.95,29.95,Yes,The ATM is often out of service.,ATM Service,
8535-SFUTN,Male,0,No,No,61,Yes,Yes,top up loan,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,106.45,6300.15,No,Can I set up automatic bill payments from my account?,General,
5896-NPFWW,Male,0,Yes,Yes,3,Yes,No,general loan,No,No,Yes,No,No,No,Month-to-month,Yes,50.15,168.15,Yes,The loan application process is too complicated.,Loans,
3701-SFMUH,Male,0,Yes,Yes,7,Yes,No,general loan,Yes,No,No,No,Yes,Yes,Month-to-month,No,69.7,516.15,No,The branch is not accessible for disabled customers.,Branch Service,
6655-LHBYW,Male,0,No,No,50,Yes,Yes,top up loan,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,114.35,5791.1,No,The bank's customer service chat is very helpful.,General,
6549-NNDYT,Female,0,No,No,13,No,No,general loan,Yes,No,No,No,No,No,Month-to-month,Yes,30.85,394.1,No,The ATM fees are too high.,ATM Service,
